timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673626499950,613,HTTP Request,200,OK,Thread Group 1-20,text,true,,4144,245,100,100,http://34.132.194.230/ghost/,271,0,143
1673626499950,275,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,,true,,234,122,100,100,http://34.132.194.230/ghost,271,0,143
1673626500229,334,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,3910,123,100,100,http://34.132.194.230/ghost/,334,0,0
1673626499941,624,HTTP Request,200,OK,Thread Group 1-17,text,true,,4144,245,100,100,http://34.132.194.230/ghost/,280,0,152
1673626499941,284,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,,true,,234,122,100,100,http://34.132.194.230/ghost,280,0,152
1673626500229,336,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,3910,123,100,100,http://34.132.194.230/ghost/,336,0,0
1673626499941,625,HTTP Request,200,OK,Thread Group 1-13,text,true,,4144,245,100,100,http://34.132.194.230/ghost/,285,0,152
1673626499941,285,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,,true,,234,122,100,100,http://34.132.194.230/ghost,285,0,152
1673626500230,336,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,3910,123,100,100,http://34.132.194.230/ghost/,336,0,0
1673626499939,628,HTTP Request,200,OK,Thread Group 1-1,text,true,,4144,245,100,100,http://34.132.194.230/ghost/,282,0,155
1673626499941,626,HTTP Request,200,OK,Thread Group 1-16,text,true,,4144,245,100,100,http://34.132.194.230/ghost/,286,0,154
1673626499941,286,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,,true,,234,122,100,100,http://34.132.194.230/ghost,286,0,154
1673626499939,286,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,234,122,100,100,http://34.132.194.230/ghost,282,0,155
1673626500229,338,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,3910,123,100,100,http://34.132.194.230/ghost/,338,0,0
1673626500230,337,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3910,123,100,100,http://34.132.194.230/ghost/,337,0,0
1673626499947,621,HTTP Request,200,OK,Thread Group 1-8,text,true,,4144,245,100,100,http://34.132.194.230/ghost/,276,0,147
1673626499947,278,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,,true,,234,122,100,100,http://34.132.194.230/ghost,276,0,147
1673626500230,338,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,3910,123,100,100,http://34.132.194.230/ghost/,338,0,0
1673626499941,628,HTTP Request,200,OK,Thread Group 1-12,text,true,,4144,245,100,100,http://34.132.194.230/ghost/,287,0,153
1673626499941,287,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,,true,,234,122,100,100,http://34.132.194.230/ghost,287,0,153
1673626500230,339,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,3910,123,100,100,http://34.132.194.230/ghost/,339,0,0
1673626499959,611,HTTP Request,200,OK,Thread Group 1-21,text,true,,4144,245,100,100,http://34.132.194.230/ghost/,262,0,132
1673626499959,266,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,,true,,234,122,100,100,http://34.132.194.230/ghost,262,0,132
1673626500232,338,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,3910,123,100,100,http://34.132.194.230/ghost/,338,0,0
